Ticker,Headline,Article Link
ALLE,  Allegion PLC stock outperforms market on strong trading day,https://www.marketwatch.com/story/allegion-plc-stock-outperforms-market-on-strong-trading-day-01636752962-17371d322ee4?mod=mw_quote_news
ALLE,  Allegion PLC stock underperforms Thursday when compared to competitors,https://www.marketwatch.com/story/allegion-plc-stock-underperforms-thursday-when-compared-to-competitors-01636666562-2684cec4b5e7?mod=mw_quote_news
ALLE,"  Allegion PLC stock falls Wednesday, still outperforms market",https://www.marketwatch.com/story/allegion-plc-stock-falls-wednesday-still-outperforms-market-01636580154-5ebc7594d3b1?mod=mw_quote_news
ALLE,"  Allegion PLC stock rises Tuesday, outperforms market",https://www.marketwatch.com/story/allegion-plc-stock-rises-tuesday-outperforms-market-01636493767-f33c5a67b4cb?mod=mw_quote_news
ALLE,  Allegion PLC stock outperforms market on strong trading day,https://www.marketwatch.com/story/allegion-plc-stock-outperforms-market-on-strong-trading-day-01636407367-d6128900c555?mod=mw_quote_news
ALL,"  Allstate Corp. stock rises Friday, still underperforms market",https://www.marketwatch.com/story/allstate-corp-stock-rises-friday-still-underperforms-market-01636752942-1ad721f7cf2d?mod=mw_quote_news
ALL,  Allstate Corp. stock outperforms market on strong trading day,https://www.marketwatch.com/story/allstate-corp-stock-outperforms-market-on-strong-trading-day-01636666543-80c95f22e6ff?mod=mw_quote_news
ALL,"  Allstate Corp. stock falls Wednesday, underperforms market",https://www.marketwatch.com/story/allstate-corp-stock-falls-wednesday-underperforms-market-01636580147-e2ce169bc3e4?mod=mw_quote_news
ALL,"  Allstate Corp. stock falls Tuesday, underperforms market",https://www.marketwatch.com/story/allstate-corp-stock-falls-tuesday-underperforms-market-01636493744-abdbe24baf72?mod=mw_quote_news
ALL,"  Allstate Corp. stock falls Monday, underperforms market",https://www.marketwatch.com/story/allstate-corp-stock-rises-monday-still-underperforms-market-01636403760-ab644c8e8a0a-4eddc8a615a6?mod=mw_quote_news
GOOG,Opinion: What to know before making your holiday tech-stock wishlist,https://www.marketwatch.com/story/what-to-know-before-making-your-holiday-tech-stock-wishlist-11636750865?mod=mw_quote_news
GOOG,"  Democrats plan revamp for green cards in possible win for tech sector, as Republicans object",https://www.marketwatch.com/story/democrats-plan-revamp-for-green-cards-in-possible-win-for-tech-sector-as-republicans-object-11636739703?mod=mw_quote_news
GOOG,  Alphabet Inc. Cl A stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/alphabet-inc-cl-a-stock-outperforms-competitors-on-strong-trading-day-01636752692-69744d63af35?mod=mw_quote_news
GOOG,  AMC Begins Accepting Bitcoin and Ethereum as Online Payments. Dogecoin Is Next.,https://www.marketwatch.com/articles/amc-bitcoin-ethereum-dogecoin-online-payments-51636710311?mod=mw_quote_news
GOOG,"  U.S. stocks end mostly higher as tech shares recover, but Disney fall weighs on Dow",https://www.marketwatch.com/story/wall-street-stocks-poised-for-a-rebound-led-by-battered-tech-sector-11636629367?mod=mw_quote_news
AMZN,Opinion: What to know before making your holiday tech-stock wishlist,https://www.marketwatch.com/story/what-to-know-before-making-your-holiday-tech-stock-wishlist-11636750865?mod=mw_quote_news
AMZN,"  Democrats plan revamp for green cards in possible win for tech sector, as Republicans object",https://www.marketwatch.com/story/democrats-plan-revamp-for-green-cards-in-possible-win-for-tech-sector-as-republicans-object-11636739703?mod=mw_quote_news
AMZN,"Opinion: Amazon, perpetually bashed by politicians, is taking on big social initiatives, and investors should reward it",https://www.marketwatch.com/story/amazon-perpetually-bashed-by-politicians-is-taking-on-big-social-initiatives-and-investors-should-reward-it-11636636639?mod=mw_quote_news
AMZN,"  A ‘Made in America’ tax credit — what car buyers considering a Tesla, Rivian or other EVs need to know about Build Back Better",https://www.marketwatch.com/story/a-made-in-america-tax-credit-what-car-buyers-considering-a-tesla-rivian-or-other-evs-need-to-know-about-build-back-better-11636581381?mod=mw_quote_news
AMZN,  Weekend reads: Can bitcoin protect you from inflation?,https://www.marketwatch.com/story/weekend-reads-can-bitcoin-protect-you-from-inflation-11636741029?mod=mw_quote_news
AEE,"  Ameren Corp. stock rises Friday, still underperforms market",https://www.marketwatch.com/story/ameren-corp-stock-rises-friday-still-underperforms-market-01636752845-cb8ecd3db7ae?mod=mw_quote_news
AEE,"  Ameren Corp. stock falls Thursday, underperforms market",https://www.marketwatch.com/story/ameren-corp-stock-falls-thursday-underperforms-market-01636666436-fc58fe1f68b9?mod=mw_quote_news
AEE,  Ameren Corp. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/ameren-corp-stock-outperforms-competitors-on-strong-trading-day-01636580038-6501f2abaa90?mod=mw_quote_news
AEE,  Ameren Corp. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/ameren-corp-stock-outperforms-competitors-on-strong-trading-day-01636493640-84609ee6cf74?mod=mw_quote_news
AEE,"  Ameren Corp. stock falls Monday, underperforms market",https://www.marketwatch.com/story/ameren-corp-stock-falls-monday-underperforms-market-01636403656-0ad9248d6c2b-fdc93d9aa281?mod=mw_quote_news
AEP,"  American Electric Power Co. Inc. stock falls Friday, underperforms market",https://www.marketwatch.com/story/american-electric-power-co-inc-stock-falls-friday-underperforms-market-01636752873-01bdcb050547?mod=mw_quote_news
AEP,"  American Electric Power Co. Inc. stock falls Thursday, underperforms market",https://www.marketwatch.com/story/american-electric-power-co-inc-stock-falls-thursday-underperforms-market-01636666473-f53c59799f63?mod=mw_quote_news
AEP,  American Electric Power Co. Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/american-electric-power-co-inc-stock-outperforms-market-on-strong-trading-day-01636580075-52e77282009a?mod=mw_quote_news
AEP,  American Electric Power Co. Inc. stock outperforms market despite losses on the day,https://www.marketwatch.com/story/american-electric-power-co-inc-stock-outperforms-market-despite-losses-on-the-day-01636493675-446dc287d5f6?mod=mw_quote_news
AEP,  American Electric Power Co. Inc. stock outperforms competitors despite losses on the day,https://www.marketwatch.com/story/american-electric-power-co-inc-stock-falls-monday-underperforms-market-01636403691-a331445eb3e0-877ffe39c198?mod=mw_quote_news
AIG,"  American International Group Inc. stock falls Friday, underperforms market",https://www.marketwatch.com/story/american-international-group-inc-stock-falls-friday-underperforms-market-01636752903-fcc41ea56ba0?mod=mw_quote_news
AIG,"  American International Group Inc. stock remains steady Thursday, underperforms market",https://www.marketwatch.com/story/american-international-group-inc-stock-remains-steady-thursday-underperforms-market-01636666501-19f323d9f0d9?mod=mw_quote_news
AIG,"  American International Group Inc. stock rises Wednesday, outperforms market",https://www.marketwatch.com/story/american-international-group-inc-stock-rises-wednesday-outperforms-market-01636580100-6b39d8da628b?mod=mw_quote_news
AIG,  American International Group Inc. stock underperforms Tuesday when compared to competitors,https://www.marketwatch.com/story/american-international-group-inc-stock-underperforms-tuesday-when-compared-to-competitors-01636493703-533ba1b0f273?mod=mw_quote_news
AIG,  American International Group Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/american-international-group-inc-stock-underperforms-monday-when-compared-to-competitors-despite-daily-gains-01636403718-e12cd8737189-0e344319e1f0?mod=mw_quote_news
AWK,"  American Water Works Co. stock rises Friday, still underperforms market",https://www.marketwatch.com/story/american-water-works-co-stock-rises-friday-still-underperforms-market-01636753110-9ef863a12d09?mod=mw_quote_news
AWK,"  American Water Works Co. stock falls Thursday, underperforms market",https://www.marketwatch.com/story/american-water-works-co-stock-falls-thursday-underperforms-market-01636666711-c4b7ffd4afe8?mod=mw_quote_news
AWK,  American Water Works Co. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/american-water-works-co-stock-outperforms-competitors-on-strong-trading-day-01636580308-62bfcb0ebc49?mod=mw_quote_news
AWK,  American Water Works Co. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/american-water-works-co-stock-outperforms-competitors-on-strong-trading-day-01636493913-f2a4882be885?mod=mw_quote_news
AWK,  American Water Works Co. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/story/american-water-works-co-stock-underperforms-monday-when-compared-to-competitors-01636407513-58ce4cd90c67?mod=mw_quote_news
ABC,"  AmerisourceBergen Corp. stock rises Friday, still underperforms market",https://www.marketwatch.com/story/amerisourcebergen-corp-stock-rises-friday-still-underperforms-market-01636752769-d21f060e7f7d?mod=mw_quote_news
ABC,"  AmerisourceBergen Corp. stock rises Thursday, still underperforms market",https://www.marketwatch.com/story/amerisourcebergen-corp-stock-rises-thursday-still-underperforms-market-01636666365-0d7d4835d345?mod=mw_quote_news
ABC,  AmerisourceBergen Corp. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/amerisourcebergen-corp-stock-outperforms-competitors-on-strong-trading-day-01636579965-974a61301f6d?mod=mw_quote_news
ABC,"  AmerisourceBergen Corp. stock falls Tuesday, underperforms market",https://www.marketwatch.com/story/amerisourcebergen-corp-stock-falls-tuesday-underperforms-market-01636493564-cbfa679a84ea?mod=mw_quote_news
ABC,"  AmerisourceBergen Corp. stock falls Monday, underperforms market",https://www.marketwatch.com/story/amerisourcebergen-corp-stock-underperforms-monday-when-compared-to-competitors-01636403580-4f4848ebdcb5-2c046b447258?mod=mw_quote_news
AMGN,"  Amgen Inc. stock falls Friday, underperforms market",https://www.marketwatch.com/story/amgen-inc-stock-falls-friday-underperforms-market-01636752977-3565f98541a2?mod=mw_quote_news
AMGN,"  Amgen Inc. stock falls Thursday, underperforms market",https://www.marketwatch.com/story/amgen-inc-stock-falls-thursday-underperforms-market-01636666581-e49384d3ff67?mod=mw_quote_news
AMGN,  Amgen Inc. stock underperforms Wednesday when compared to competitors despite daily gains,https://www.marketwatch.com/story/amgen-inc-stock-underperforms-wednesday-when-compared-to-competitors-despite-daily-gains-01636580175-15aa2f3272e3?mod=mw_quote_news
AMGN,  Amgen Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/amgen-inc-stock-outperforms-competitors-on-strong-trading-day-01636493778-d67399375b66?mod=mw_quote_news
AMGN,  Amgen Inc. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/story/amgen-inc-stock-underperforms-monday-when-compared-to-competitors-01636407379-37a3cd870a2d?mod=mw_quote_news
ADI,"  Analog Devices Inc. stock rises Friday, outperforms market",https://www.marketwatch.com/story/analog-devices-inc-stock-rises-friday-outperforms-market-01636752830-ecc8ef9f1429?mod=mw_quote_news
ADI,  Analog Devices Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/analog-devices-inc-stock-outperforms-competitors-on-strong-trading-day-01636666431-a65f0dd80216?mod=mw_quote_news
ADI,"  Analog Devices Inc. stock falls Wednesday, underperforms market",https://www.marketwatch.com/story/analog-devices-inc-stock-falls-wednesday-underperforms-market-01636580030-4d815df28302?mod=mw_quote_news
ADI,  Analog Devices Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/analog-devices-inc-stock-outperforms-competitors-on-strong-trading-day-01636493632-b5b3e04185d3?mod=mw_quote_news
ADI,  Analog Devices Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/analog-devices-inc-stock-falls-monday-underperforms-market-01636403647-939d100e09e4-0a1c8d2ed940?mod=mw_quote_news
ANTM,  Anthem Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/anthem-inc-stock-outperforms-competitors-on-strong-trading-day-01636753035-d20e99a01288?mod=mw_quote_news
ANTM,"  Anthem Inc. stock rises Thursday, outperforms market",https://www.marketwatch.com/story/anthem-inc-stock-rises-thursday-outperforms-market-01636666634-1e3c35ffdfd6?mod=mw_quote_news
ANTM,  Anthem Inc. stock underperforms Wednesday when compared to competitors,https://www.marketwatch.com/story/anthem-inc-stock-underperforms-wednesday-when-compared-to-competitors-01636580237-6cd8e8c67e6e?mod=mw_quote_news
ANTM,  Anthem Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/anthem-inc-stock-outperforms-market-on-strong-trading-day-01636493838-cf437296adf0?mod=mw_quote_news
ANTM,  Anthem Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/anthem-inc-stock-outperforms-market-on-strong-trading-day-01636407441-44ed332c7b8a?mod=mw_quote_news
APA,"  APA Corp. stock rises Friday, still underperforms market",https://www.marketwatch.com/story/apa-corp-stock-rises-friday-still-underperforms-market-01636753044-e4052da76bdd?mod=mw_quote_news
APA,"  APA Corp. stock rises Thursday, outperforms market",https://www.marketwatch.com/story/apa-corp-stock-rises-thursday-outperforms-market-01636666644-2743e520313d?mod=mw_quote_news
APA,  APA Corp. stock underperforms Wednesday when compared to competitors,https://www.marketwatch.com/story/apa-corp-stock-underperforms-wednesday-when-compared-to-competitors-01636580241-5998a4d5fe70?mod=mw_quote_news
APA,  APA Corp. stock underperforms Tuesday when compared to competitors,https://www.marketwatch.com/story/apa-corp-stock-underperforms-tuesday-when-compared-to-competitors-01636493845-1da2d014d019?mod=mw_quote_news
APA,  APA Corp. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/apa-corp-stock-outperforms-competitors-on-strong-trading-day-01636407447-16d7cc35f0af?mod=mw_quote_news
AMAT,  Applied Materials Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/applied-materials-inc-stock-outperforms-market-on-strong-trading-day-01636752971-b0cf4e2addba?mod=mw_quote_news
AMAT,  Applied Materials Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/applied-materials-inc-stock-outperforms-market-on-strong-trading-day-01636666569-2baa170d7726?mod=mw_quote_news
AMAT,"  Applied Materials Inc. stock falls Wednesday, underperforms market",https://www.marketwatch.com/story/applied-materials-inc-stock-falls-wednesday-underperforms-market-01636580167-c899aeb1a96c?mod=mw_quote_news
AMAT,  Applied Materials Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/applied-materials-inc-stock-outperforms-competitors-on-strong-trading-day-01636493772-739af6d08db5?mod=mw_quote_news
AMAT,  Applied Materials Inc. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/story/applied-materials-inc-stock-underperforms-monday-when-compared-to-competitors-01636407374-bdca3cba7e33?mod=mw_quote_news
ANET,"  Arista Networks Inc. stock rises Friday, outperforms market",https://www.marketwatch.com/story/arista-networks-inc-stock-rises-friday-outperforms-market-01636753029-d10b3cd40cb3?mod=mw_quote_news
ANET,  Arista Networks Inc. stock underperforms Thursday when compared to competitors,https://www.marketwatch.com/story/arista-networks-inc-stock-underperforms-thursday-when-compared-to-competitors-01636666629-3b6ade9b5d15?mod=mw_quote_news
ANET,"  Arista Networks Inc. stock falls Wednesday, underperforms market",https://www.marketwatch.com/story/arista-networks-inc-stock-falls-wednesday-underperforms-market-01636580221-cf71d38fb16e?mod=mw_quote_news
ANET,"  Arista Networks Inc. stock rises Tuesday, outperforms market",https://www.marketwatch.com/story/arista-networks-inc-stock-rises-tuesday-outperforms-market-01636493835-11eb61eb9b17?mod=mw_quote_news
ANET,  Arista Networks Inc. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/story/arista-networks-inc-stock-underperforms-monday-when-compared-to-competitors-01636407433-cb98eec97477?mod=mw_quote_news
AIZ,"  Assurant Inc. stock falls Friday, underperforms market",https://www.marketwatch.com/story/assurant-inc-stock-falls-friday-underperforms-market-01636752898-4c3032f918ef?mod=mw_quote_news
AIZ,  Assurant Inc. stock outperforms market on strong trading day,https://www.marketwatch.com/story/assurant-inc-stock-outperforms-market-on-strong-trading-day-01636666499-c4df2dbba17a?mod=mw_quote_news
AIZ,  Assurant Inc. stock outperforms market despite losses on the day,https://www.marketwatch.com/story/assurant-inc-stock-outperforms-market-despite-losses-on-the-day-01636580097-df26e8b02b04?mod=mw_quote_news
AIZ,"  Assurant Inc. stock falls Tuesday, underperforms market",https://www.marketwatch.com/story/assurant-inc-stock-falls-tuesday-underperforms-market-01636493699-761cd8493c83?mod=mw_quote_news
AIZ,  Assurant Inc. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/story/assurant-inc-stock-falls-monday-underperforms-market-01636403716-7cd63ec2e39d-ef6aaa49b38d?mod=mw_quote_news
ATO,"  Atmos Energy Corp. stock rises Friday, still underperforms market",https://www.marketwatch.com/story/atmos-energy-corp-stock-rises-friday-still-underperforms-market-01636753100-71c0defe0512?mod=mw_quote_news
ATO,"  Atmos Energy Corp. stock rises Thursday, outperforms market",https://www.marketwatch.com/story/atmos-energy-corp-stock-rises-thursday-outperforms-market-01636666699-6a2c47b48f14?mod=mw_quote_news
ATO,  Atmos Energy Corp. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/atmos-energy-corp-stock-outperforms-competitors-on-strong-trading-day-01636580292-a9a1d9c2e119?mod=mw_quote_news
ATO,  Atmos Energy Corp. stock outperforms market on strong trading day,https://www.marketwatch.com/story/atmos-energy-corp-stock-outperforms-market-on-strong-trading-day-01636493905-a3a4ea5ca2a2?mod=mw_quote_news
ATO,"  Atmos Energy Corp. stock falls Monday, underperforms market",https://www.marketwatch.com/story/atmos-energy-corp-stock-falls-monday-underperforms-market-01636407504-b3af77b5e8c5?mod=mw_quote_news
ADP,  7 Companies That Raised Their Dividends This Week,https://www.marketwatch.com/articles/dividend-stocks-51636736937?mod=mw_quote_news
ADP,  Automatic Data Processing Inc. stock underperforms Friday when compared to competitors despite daily gains,https://www.marketwatch.com/story/automatic-data-processing-inc-stock-underperforms-friday-when-compared-to-competitors-despite-daily-gains-01636752831-cb944a9a84b0?mod=mw_quote_news
ADP,  Automatic Data Processing Inc. stock underperforms Thursday when compared to competitors,https://www.marketwatch.com/story/automatic-data-processing-inc-stock-underperforms-thursday-when-compared-to-competitors-01636666432-a6e4294a275c?mod=mw_quote_news
ADP,  Automatic Data Processing Inc. stock outperforms competitors on strong trading day,https://www.marketwatch.com/story/automatic-data-processing-inc-stock-outperforms-competitors-on-strong-trading-day-01636580030-1d618c5f6e0c?mod=mw_quote_news
